ID,Glottocode,Language,Family,Consonants,WALS_size,Has_fricatives,F/C Ratio,Fricatives,n_fricatives,n_places,β,ɸ,v,f,θ,ð,s,z,s̺,ʃ,ɹ̝,ɬ,ɕ,ʑ,ç,ʝ,ɮ,ʒ,ʂ,ʐ,x,ɣ,ʁ,h,Voice_stops,Voice_fricatives,Allo_fric,Latitude,Longitude,Source,Commentary
66,sali1298,Sáliba,Saliban,20,average,1,0.25,ɸ s x h hʷ,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,"-10.70, -64.76",,estrada_ramirez_2000,
67,piar1243,Piaroa,Saliban,24,average,1,0.12,s h hʷ,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"-10.70, -64.77",,mosonyi_2000,The aspirated stop pʰ has an allophone ɸ in free variation.
68,maco1239,Máko,Saliban,22,average,1,0.09,h hʷ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"-10.70, -64.78",,roses_labrada_2015,
69,maqu1238,Ye’kwana,Cariban,15,moderately small,1,0.26,s ʃ ç h,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"-10.70, -64.79",,caceres_arandia_2018,Both s and h have palatal allophones following i or j.
70,capa1241,Capanahua,Panoan,16,moderately small,1,0.25,s ʃ ʂ h,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"-10.70, -64.80",,elias_ulloa_2009,
71,saki1248,Mekens,Tupian,15,moderately small,1,0.06,s,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"-10.70, -64.81",,galucio_2001,
72,wayo1238,Wayoro,Tupian,14,small,1,0.071,β,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"-10.70, -64.82",,nogueira_2011,"There is an alternation between word-final p and β, as well as m ~ β, which is described by the source as a case of allophony triggered by a following vowel (or an intervocalic context), but must be morphophonemic alternation."
73,paun1241,Paunaka,Arawakan,14,small,1,0.35,β s ʃ ʂ h,5,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,"-10.70, -64.83",,terhart_2022,"The labial fricative β has [v b β w] allophones (Terhart 2022); the fricatives ʃ and ʂ were incorporated via loans from Bésiro, and h triggers nasalization of a following vowel (rhinoglottophilia) (Terhart 2022:50)."
74,igna1246,Ignaciano,Arawakan,17,moderately small,1,0.23,β s ʃ x,4,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"-10.70, -64.84",,jorda_2014,
75,trin1274,Trinitario,Arawakan,17,moderately small,1,0.23,β s ç x,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"-10.70, -64.85",,rose_2014,
76,baur1253,Baure,Arawakan,13,small,1,0.3,β s ʃ h,4,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"-10.70, -64.86",,danielsen_2007,Fricative v includes [β w b] realizations
77,ashe1272,Ashéninka Perené,Arawakan,20,average,1,0.15,s ʃ h,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"-10.70, -64.87",,mihas_2015,The fricatives s and ʃ are neutralized to the postalveolar realization preceding a high front vowel.
78,agua1253,Aguaruna,Chicham,12,small,1,0.25,s ʃ h,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"-10.70, -64.88",,overall_2007,"The labial stop p is implemented as ɸ when vowel syncope makes it adjacent to a following h; in the same context, k appears as x; fricatives s ʃ and t͡s and t͡ʃ are neutralized, showing either only fricative or only affricate realizations, in some contexts. The glottal fricative h also triggers nasalization (rhinoglottophilia)."
79,daww1239,Dâw,Nadahupan,25,average,1,0.12,ʃ x h,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,"-10.70, -64.89",,andrade_martins_2004,"The author discussses language-specific criteria for classifying h among the obstruents, not the sonorants. Note that h is also a default consonant inserted in different morphophonological contexts."
80,huam1247,Wampis,Chicham,14,small,1,0.21,s ʃ h,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"-10.70, -64.90",,pena_2015,
81,puin1248,Wansöhöt,Isolate,8,small,1,0.25,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"-10.70, -64.91",,giron_2008,
82,arao1248,Araona,Takanan,18,moderately small,1,0.22,s z ç h,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"-10.70, -64.92",,emkow_2012,
83,mati1255,Matis,Panoan,15,moderately small,1,0.2,s ʃ ʂ,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,"-10.70, -64.93",,ferreira_2005,"The fricative β occurs as a lenited, intervocalic allophone of the stop consonant b."
84,shaw1250,Shawanawa,Panoan,14,small,1,0.28,f s ʃ ʂ,4,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"-10.70, -64.94",,souza_2012,Note that v and f alternate freely in word-initial position.
85,yawa1260,Yawanawa,Panoan,15,moderately small,1,0.33,β s ʃ ʂ h,5,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,"-10.70, -64.95",,paula_2004,
86,waor1240,Wao Terero,Isolate,13,small,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"-10.70, -64.96",,fawcett_2023,
87,aika1237,Aikanã,Isolate,13,small,1,0.23,ð s h,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"-10.70, -64.97",,van_der_voort_birchall_2023,The approximant j can become a fricative ʝ before high front vowels.
